Postcode	Borough	Neighbourhood
8702	Duebendorf	Zollikon
8703	Duebendorf	Erlenbach
8704	Duebendorf	Herrliberg
8706	Duebendorf	Meilen
8706	Duebendorf	Feldmeilen
8706	Duebendorf	Obermeilen
8707	Duebendorf	Uetikon am See
8708	Duebendorf	Maennedorf
8712	Duebendorf	Staefa
8713	Duebendorf	Uerikon
8714	Duebendorf	Feldbach
8800	Duebendorf	Thalwil
8802	Duebendorf	Kilchberg
8803	Duebendorf	Rueschlikon
8804	Duebendorf	Au
8805	Duebendorf	Richterswil
8810	Duebendorf	Horgen
8815	Duebendorf	Horgenberg
8816	Duebendorf	Hirzel
8820	Duebendorf	Waedenswil
8824	Duebendorf	Schoenenberg
8824	Duebendorf	Tanne bei Waedenswil
8825	Duebendorf	Huetten
8833	Duebendorf	Samstagern
8902	Duebendorf	Urdorf
8903	Duebendorf	Birmensdorf
8904	Duebendorf	Aesch bei Birmensdorf
8906	Duebendorf	Bonstetten
8907	Duebendorf	Wettswil
8908	Duebendorf	Hedingen
8909	Duebendorf	Zwillikon
8910	Duebendorf	Affoltern am Albis
8911	Duebendorf	Rifferswil
8912	Duebendorf	Obfelden
8913	Duebendorf	Ottenbach
8914	Duebendorf	Aeugst am Albis
8914	Duebendorf	Aeugstertal
8915	Duebendorf	Hausen am Albis
8925	Duebendorf	Ebertswil
8926	Duebendorf	Kappel am Albis
8926	Duebendorf	Hauptikon
8926	Duebendorf	Uerzlikon
8932	Duebendorf	Mettmenstetten
8933	Duebendorf	Maschwanden
8934	Duebendorf	Knonau
8942	Duebendorf	Oberrieden
8951	Duebendorf	Fahrweid
8952	Duebendorf	Schlieren
8953	Duebendorf	Dietikon
8954	Duebendorf	Geroldswil
8955	Duebendorf	Oetwil an der Limmat
8000	Zurich City	Zurich-Area
8001	Zurich City	Altstadt Zurich
8001	Zurich City	Hochschulen
8001	Zurich City	Hottingen
8001	Zurich City	Lindenhof
8001	Zurich City	Rathaus
8002	Zurich City	Zurich-Area
8003	Zurich City	Alt-Wiedikon
8003	Zurich City	Sihlfeld
8004	Zurich City	Hard
8004	Zurich City	Langstrasse
8004	Zurich City	Werd
8005	Zurich City	Escher-Wyss
8005	Zurich City	Gewerbeschule
8006	Zurich City	Zurich-Area
8008	Zurich City	Muehlebach
8008	Zurich City	Seefeld
8008	Zurich City	Weinegg
8015	Zurich City	Zurich-Area
8016	Zurich City	Zurich-Area
8021	Zurich City	Zurich-Area
8022	Zurich City	Zurich-Area
8023	Zurich City	Zurich-Area
8024	Zurich City	Zurich-Area
8025	Zurich City	Zurich-Area
8026	Zurich City	Zurich-Area
8027	Zurich City	Zurich-Area
8030	Zurich City	Zurich-Area
8031	Zurich City	Zurich-Area
8032	Zurich City	Zurich-Area
8033	Zurich City	Zurich-Area
8034	Zurich City	Zurich-Area
8036	Zurich City	Zurich-Area
8037	Zurich City	Zurich-Area
8038	Zurich City	Wollishofen
8039	Zurich City	Zurich-Area
8040	Zurich City	Zurich-Area
8041	Zurich City	Leimbach
8042	Zurich City	Zurich-Area
8044	Zurich City	Fluntern
8044	Zurich City	Oberstrass
8045	Zurich City	Alt-Wiedikon
8045	Zurich City	Friesenberg
8046	Zurich City	Affoltern
8047	Zurich City	Zurich-Area
8048	Zurich City	Altstetten
8049	Zurich City	Zurich-Area
8050	Zurich City	Zurich-Area
8051	Zurich City	Hirzenbach
8051	Zurich City	Schwamendingen
8052	Zurich City	Seebach
8053	Zurich City	Witikon
8055	Zurich City	Albisrieden
8055	Zurich City	Alt-Wiedikon
8055	Zurich City	Friesenberg
8057	Zurich City	Oerlikon
8057	Zurich City	Unterstrass
8059	Zurich City	Zurich-Area
8061	Zurich City	Zurich-Area
8063	Zurich City	Zurich-Area
8064	Zurich City	Altstetten
8066	Zurich City	Zurich-Area
8068	Zurich City	Zurich-Area
8070	Zurich City	Zurich-Area
8071	Zurich City	Zurich-Area
8074	Zurich City	Zurich-Area
8075	Zurich City	Zurich-Area
8080	Zurich City	Zurich-Area
8081	Zurich City	Zurich-Area
8085	Zurich City	Zurich-Area
8086	Zurich City	Zurich-Area
8087	Zurich City	Zurich-Area
8088	Zurich City	Zurich-Area
8090	Zurich City	Zurich-Area
8091	Zurich City	Zurich-Area
8092	Zurich City	Zurich-Area
8093	Zurich City	Zurich-Area
8096	Zurich City	Zurich-Area
8098	Zurich City	Zurich-Area
8099	Zurich City	Zurich-Area
